index,timestamp,x,y,z,Qx,Qy,Qz,Qw
264,1722943238.480923,-2.911116,4.730437,-0.074255,-0.021693,-0.013478,-0.671421,0.740636
265,1722943238.747886,-2.906033,4.654318,-0.051086,-0.007245,-0.023710,-0.693206,0.720313
266,1722943239.415483,-2.903788,4.362698,-0.058036,-0.021777,-0.035621,-0.700257,0.712669
267,1722943239.817527,-2.891304,4.154557,-0.056073,-0.008335,-0.024652,-0.718652,0.694883
268,1722943240.083781,-2.882335,3.999588,-0.061709,-0.027884,-0.028332,-0.740247,0.671159
269,1722943240.350921,-2.882421,3.845711,-0.049586,-0.020059,-0.023396,-0.771930,0.634960
270,1722943240.884967,-2.965984,3.516051,-0.060361,-0.028563,-0.032947,-0.759311,0.649266
271,1722943241.151916,-2.995414,3.367516,-0.040117,-0.020227,-0.020929,-0.745894,0.665428
272,1722943241.552421,-3.028757,3.152744,-0.061211,-0.038724,-0.026741,-0.760860,0.647207
273,1722943242.487231,-3.178465,2.700436,-0.045358,-0.008822,-0.022537,-0.739140,0.673117
274,1722943243.020880,-3.303309,2.452090,-0.040373,-0.024706,-0.017078,-0.732661,0.679931
275,1722943243.421495,-3.369317,2.237970,-0.030995,-0.035513,-0.013668,-0.738492,0.673188
276,1722943243.688465,-3.434161,2.087006,-0.039855,-0.020516,-0.017693,-0.745162,0.666333
277,1722943244.222715,-3.583730,1.784920,-0.030899,-0.038045,-0.019296,-0.718431,0.694289
278,1722943244.623177,-3.679834,1.563001,-0.051143,-0.048232,-0.012349,-0.728276,0.683473
279,1722943245.691781,-3.826270,1.291928,-0.075720,-0.005546,-0.018506,-0.685829,0.727506
280,1722943245.958943,-3.913910,1.049839,-0.198347,-0.021273,-0.019143,-0.689164,0.724040
281,1722943246.225912,-3.958327,0.940521,-0.344003,-0.003243,0.007529,-0.691229,0.722589
282,1722943246.625988,-3.990690,0.872841,-0.283880,0.020294,0.010540,-0.672910,0.739371
283,1722943246.893346,-3.980507,0.876622,-0.146664,0.012056,-0.006914,-0.666878,0.745037
284,1722943247.427227,-3.946162,0.897228,-0.125438,0.016225,-0.022878,-0.699157,0.714418
285,1722943247.694256,-3.922245,0.913784,-0.126155,0.022562,-0.026026,-0.755255,0.654525
286,1722943247.961390,-3.914945,0.935916,-0.124126,0.023348,-0.036025,-0.834042,0.550028
287,1722943248.228483,-3.912036,0.956167,-0.117844,-0.007658,0.040165,0.895938,-0.442293
288,1722943248.495453,-3.912336,0.971444,-0.114427,-0.008263,0.038300,0.945685,-0.322715
289,1722943248.762442,-3.925222,0.975623,-0.118710,-0.005868,0.041159,0.971448,-0.233583
290,1722943249.030031,-3.954973,0.954400,-0.115093,-0.000086,0.036830,0.985612,-0.164960
291,1722943249.297271,-4.021432,0.904553,-0.111347,0.001542,0.044925,0.994848,-0.090863
292,1722943249.563693,-4.106161,0.864176,-0.104451,0.009580,0.045407,0.998868,-0.010471
293,1722943249.831011,-4.193398,0.812476,-0.101123,0.010973,0.038649,0.996375,0.074979
294,1722943250.098363,-4.318888,0.728459,-0.108784,0.017556,0.035650,0.985282,0.166252
295,1722943250.364962,-4.400455,0.660093,-0.089221,0.037600,0.042873,0.965272,0.254947
296,1722943250.898993,-4.648860,0.583503,-0.092668,0.044684,0.045958,0.959192,0.275396
297,1722943251.166626,-4.870248,0.526667,-0.081667,0.045895,0.040207,0.956011,0.286913
298,1722943251.433193,-5.021980,0.467045,-0.085822,0.048882,0.039677,0.929817,0.362598
299,1722943251.700146,-5.068794,0.418965,-0.099989,0.031699,0.040291,0.871939,0.486923
300,1722943251.967168,-5.108477,0.390732,-0.115852,0.020636,0.051591,0.818871,0.571281
301,1722943252.234247,-5.108985,0.381648,-0.185081,0.020803,0.055175,0.789261,0.611220
302,1722943252.501428,-5.135989,0.367686,-0.287959,0.005879,0.056935,0.777513,0.626256
303,1722943252.901896,-5.154499,0.357713,-0.423316,-0.014272,0.037389,0.770877,0.635725
304,1722943253.302536,-5.140951,0.380335,-0.254048,-0.013564,0.057884,0.797113,0.600896
